audio_id,source_csv,local_audio_path,input_file_path,model,common_name,scientific_name,confidence,start_time,end_time
4_2MM06988_20250401_160000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250401_160000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250401_160000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250401_160000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9983548521995544,33.0,36.0
4_2MM06988_20250401_160000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250401_160000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250401_160000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250401_160000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.998865008354187,54.0,57.0
4_2MM06988_20250401_160500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250401_160500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250401_160500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250401_160500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9984009861946106,21.0,24.0
4_2MM06988_20250402_060000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_060000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_060000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_060000.wav,birdnet,Masked Yellowthroat,Geothlypis aequinoctialis,0.9989435076713562,51.0,54.0
4_2MM06988_20250402_114500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_114500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_114500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_114500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9987479448318481,24.0,27.0
4_2MM06988_20250402_165500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_165500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_165500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_165500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9984632730484009,6.0,9.0
4_2MM06988_20250402_170500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_170500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_170500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_170500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9986910223960876,45.0,48.0
4_2MM06988_20250402_171000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_171000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_171000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_171000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9982568621635437,18.0,21.0
4_2MM06988_20250402_171500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250402_171500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250402_171500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250402_171500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9988736510276794,6.0,9.0
4_2MM06988_20250403_090500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250403_090500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250403_090500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250403_090500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9990359544754028,39.0,42.0
4_2MM06988_20250403_150500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250403_150500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250403_150500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250403_150500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9983835220336914,30.0,33.0
4_2MM06988_20250403_153000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250403_153000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250403_153000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250403_153000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994744658470154,6.0,9.0
4_2MM06988_20250403_153000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250403_153000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250403_153000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250403_153000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9980095028877258,51.0,54.0
4_2MM06988_20250404_092500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250404_092500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250404_092500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250404_092500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9995622038841248,15.0,18.0
4_2MM06988_20250405_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_070000.wav,birdnet,Spix's Spinetail,Synallaxis spixi,0.998801589012146,3.0,6.0
4_2MM06988_20250405_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_070000.wav,birdnet,Spix's Spinetail,Synallaxis spixi,0.9995787739753723,21.0,24.0
4_2MM06988_20250405_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_073500.wav,birdnet,Yellow-headed Caracara,Milvago chimachima,0.999303936958313,3.0,6.0
4_2MM06988_20250405_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_073500.wav,birdnet,Yellow-headed Caracara,Milvago chimachima,0.9998656511306763,54.0,57.0
4_2MM06988_20250405_075500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_075500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_075500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_075500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9998693466186523,45.0,48.0
4_2MM06988_20250405_093500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_093500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_093500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_093500.wav,birdnet,Yellow-headed Caracara,Milvago chimachima,0.9999420642852783,0.0,3.0
4_2MM06988_20250405_093500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_093500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_093500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_093500.wav,birdnet,Yellow-headed Caracara,Milvago chimachima,0.9991186261177063,27.0,30.0
4_2MM06988_20250405_110000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_110000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_110000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_110000.wav,birdnet,Plain-crested Elaenia,Elaenia cristata,0.9980283379554749,42.0,45.0
4_2MM06988_20250405_165000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250405_165000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250405_165000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250405_165000.wav,birdnet,Brown Tinamou,Crypturellus obsoletus,0.9981482028961182,36.0,39.0
4_2MM06988_20250406_074000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250406_074000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250406_074000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250406_074000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9981991648674011,33.0,36.0
4_2MM06988_20250406_090000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250406_090000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250406_090000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250406_090000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9983258843421936,57.0,60.0
4_2MM06988_20250406_125500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250406_125500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250406_125500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250406_125500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9981179237365723,39.0,42.0
4_2MM06988_20250406_143500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250406_143500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250406_143500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250406_143500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9985925555229187,9.0,12.0
4_2MM06988_20250406_162500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250406_162500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250406_162500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250406_162500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9994637370109558,3.0,6.0
4_2MM06988_20250407_081500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_081500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_081500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_081500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9980295300483704,45.0,48.0
4_2MM06988_20250407_094500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_094500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_094500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_094500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9981940388679504,33.0,36.0
4_2MM06988_20250407_105000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_105000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_105000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_105000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9998714923858643,3.0,6.0
4_2MM06988_20250407_111000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_111000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_111000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_111000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9995132684707642,0.0,3.0
4_2MM06988_20250407_112500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_112500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_112500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_112500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9991034865379333,30.0,33.0
4_2MM06988_20250407_115000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_115000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_115000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_115000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9991777539253235,33.0,36.0
4_2MM06988_20250407_115000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_115000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_115000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_115000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9998443126678467,45.0,48.0
4_2MM06988_20250407_115500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250407_115500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250407_115500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250407_115500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9995318651199341,30.0,33.0
4_2MM06988_20250408_020500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_020500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_020500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_020500.wav,birdnet,Yellowish-bellied Bush Warbler,Horornis acanthizoides,0.9980512857437134,45.0,48.0
4_2MM06988_20250408_065000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_065000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_065000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_065000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.999778687953949,33.0,36.0
4_2MM06988_20250408_065000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_065000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_065000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_065000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9996564388275146,48.0,51.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9997084736824036,3.0,6.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9989670515060425,6.0,9.0
4_2MM06988_20250408_070000,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_070000.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_070000.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_070000.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9991438388824463,51.0,54.0
4_2MM06988_20250408_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_073500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9980752468109131,15.0,18.0
4_2MM06988_20250408_073500,Assets/slice_2_acoustic_data/Audio/Audio/output/4_2MM06988_20250408_073500.csv,Assets/slice_2_acoustic_data/Audio/Audio/4_2MM06988_20250408_073500.wav,vale/MAC/slice_2/acoustic-data/Audio/Audio/4_2MM06988_20250408_073500.wav,birdnet,Cliff Flycatcher,Hirundinea ferruginea,0.9993435740470886,27.0,30.0
